2023-01-12 10:29:16.987[1673515756987] | INFO  | main       | c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@3257d4d7 [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@458aacdf [ acquireIncrement -> 1, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, debugUnreturnedConnectionStackTraces -> false, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, identityToken -> 1hgengqat19v99s91o61wa|39c1fe0b, idleConnectionTestPeriod -> 3000, initialPoolSize -> 10, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 1800, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 50, maxStatementsPerConnection -> 0, minPoolSize -> 10, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@60fa8608 [ description -> null, driverClass -> null, factoryClassLocation -> null, forceUseNamedDriverClass -> false, identityToken -> 1hgengqat19v99s91o61wa|56681eaf, jdbcUrl -> jdbc:mysql://localhost:3306/test, properties -> {password=******, user=******} ], preferredTestQuery -> null, privilegeSpawnedThreads -> false, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, extensions -> {}, factoryClassLocation -> null, identityToken -> 1hgengqat19v99s91o61wa|571a9686, numHelperThreads -> 3 ]
2023-01-12 10:29:20.901[1673515760901] | INFO  | main       | Binance.BinanceRunner                - downloaded symbols: [testUSDT, wrongTicker]
2023-01-12 10:29:20.903[1673515760903] | INFO  | main       | Binance.BinanceRunner                - start synchronization with db
2023-01-12 10:29:21.171[1673515761171] | INFO  | main       | Binance.BinanceRunner                - symbols are synchronized
2023-01-12 10:29:21.172[1673515761172] | INFO  | main       | Binance.BinanceRunner                - getting list of symbols
2023-01-12 10:29:21.245[1673515761245] | INFO  | main       | Binance.BinanceRunner                - symbols from persistence
2023-01-12 10:29:21.247[1673515761247] | INFO  | main       | Binance.BinanceRunner                - Symbol{id=1, symbol='testUSDT'}
2023-01-12 10:29:21.249[1673515761249] | INFO  | main       | Binance.BinanceRunner                - mod params: adding one day
2023-01-12 10:29:21.251[1673515761251] | INFO  | main       | Binance.BinanceRunner                - mod params: timeframe 1d
2023-01-12 10:29:21.252[1673515761252] | INFO  | main       | Binance.BinanceRunner                - 2010-01-01T00:00 modified: 2010-01-02T00:00
2023-01-12 10:29:21.255[1673515761255] | INFO  | main       | Binance.BinanceRunner                - prepared params: {symbol=testUSDT, interval=1d, limit=1000, startTime=1262390400000}
2023-01-12 10:29:21.313[1673515761313] | INFO  | main       | Binance.BinanceRunner                - downloaded data size: 2
2023-01-12 10:29:21.321[1673515761321] | INFO  | main       | persistence.DataRepository           - Using hibernate to write data. Data size 1
2023-01-12 10:29:21.323[1673515761323] | INFO  | main       | persistence.DbWriter                 - Saving data to db for: testUSDT
2023-01-12 10:29:21.368[1673515761368] | INFO  | main       | persistence.DbWriter                 - adding data to transaction: BinanceData{dataId=model.DataId@5b3d95e1, open=0.3234288841598365, high=0.41360362862683153, low=0.8460405276237554, close=0.43890635526633515, volume=0.7884626186133366}
2023-01-12 10:29:21.529[1673515761529] | INFO  | main       | persistence.DbWriter                 - Saving all data 1 for testUSDT to Database took: 189 ms
2023-01-12 10:53:03.561[1673517183561] | INFO  | MLog-Init-Reporter | com.mchange.v2.log.MLog              - MLog clients using slf4j logging.
2023-01-12 10:53:03.703[1673517183703] | INFO  | main       | com.mchange.v2.c3p0.C3P0Registry     - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2023-01-12 10:53:03.855[1673517183855] | INFO  | main       | c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@415da0a1 [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@c783cc9f [ acquireIncrement -> 1, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, debugUnreturnedConnectionStackTraces -> false, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, identityToken -> 1hgengqat19w3urgsd5aog|3659d7b1, idleConnectionTestPeriod -> 3000, initialPoolSize -> 10, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 1800, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 50, maxStatementsPerConnection -> 0, minPoolSize -> 10, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@b9108cdd [ description -> null, driverClass -> null, factoryClassLocation -> null, forceUseNamedDriverClass -> false, identityToken -> 1hgengqat19w3urgsd5aog|5ff90645, jdbcUrl -> jdbc:mysql://localhost:3306/test, properties -> {password=******, user=******} ], preferredTestQuery -> null, privilegeSpawnedThreads -> false, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, extensions -> {}, factoryClassLocation -> null, identityToken -> 1hgengqat19w3urgsd5aog|58b71ceb, numHelperThreads -> 3 ]
2023-01-12 10:53:08.831[1673517188831] | INFO  | main       | Binance.BinanceRunner                - downloaded symbols: [testUSDT, wrongTicker]
2023-01-12 10:53:08.831[1673517188831] | INFO  | main       | Binance.BinanceRunner                - start synchronization with db
2023-01-12 10:53:09.132[1673517189132] | INFO  | main       | Binance.BinanceRunner                - symbols are synchronized
2023-01-12 10:53:09.132[1673517189132] | INFO  | main       | Binance.BinanceRunner                - getting list of symbols
2023-01-12 10:53:09.185[1673517189185] | INFO  | main       | Binance.BinanceRunner                - symbols from persistence
2023-01-12 10:53:09.185[1673517189185] | INFO  | main       | Binance.BinanceRunner                - Symbol{id=1, symbol='testUSDT'}
2023-01-12 10:53:09.185[1673517189185] | INFO  | main       | Binance.BinanceRunner                - mod params: adding one day
2023-01-12 10:53:09.185[1673517189185] | INFO  | main       | Binance.BinanceRunner                - mod params: timeframe 1d
